"Co_Code","Co_Name","Stock Exchange","NSE Symbol","Industry","Sector","Year End","Equity Paid Up","Net Sales","PAT","PBIDT","Debt-Equity Ratio[Latest]","PBIDTM (%)[Latest]"
20,"Internat. Paper","NSE","IPAPPM","Paper - Large","Paper",201403,39.77,1091.65,-41.61,73.98,1.13,11.32
20,"Internat. Paper","NSE","IPAPPM","Paper - Large","Paper",201503,39.77,1163.25,0.25,107.3,1.13,11.32
20,"Internat. Paper","NSE","IPAPPM","Paper - Large","Paper",201603,39.77,1159.81,36.89,169.84,1.13,11.32
23,"Apollo Tyres","NSE","APOLLOTYRE","Tyres - Large","Tyres",201103,50.41,5490.49,198.25,573.77,0.25,16.67
23,"Apollo Tyres","NSE","APOLLOTYRE","Tyres - Large","Tyres",201203,50.41,8157.88,181.33,690.59,0.25,16.67
23,"Apollo Tyres","NSE","APOLLOTYRE","Tyres - Large","Tyres",201303,50.41,8511.73,312.53,961.34,0.25,16.67
23,"Apollo Tyres","NSE","APOLLOTYRE","Tyres - Large","Tyres",201403,50.41,8711.74,442.62,1112.9,0.25,16.67
23,"Apollo Tyres","NSE","APOLLOTYRE","Tyres - Large","Tyres",201503,50.91,8967.34,645.08,1356.67,0.25,16.67
23,"Apollo Tyres","NSE","APOLLOTYRE","Tyres - Large","Tyres",201603,50.9,8701.64,852.46,1617.84,0.25,16.67
29,"Arvind Ltd","NSE","ARVIND","Textiles - Denim Fabric","Textiles",201103,254.4,2683.26,134.8,438.19,1.07,17.13
29,"Arvind Ltd","NSE","ARVIND","Textiles - Denim Fabric","Textiles",201203,254.63,3494.12,434.23,888.85,1.07,17.13
29,"Arvind Ltd","NSE","ARVIND","Textiles - Denim Fabric","Textiles",201303,258.04,3780.29,261.22,680.15,1.07,17.13
29,"Arvind Ltd","NSE","ARVIND","Textiles - Denim Fabric","Textiles",201403,258.17,4775.48,361.39,862.54,1.07,17.13
29,"Arvind Ltd","NSE","ARVIND","Textiles - Denim Fabric","Textiles",201503,258.24,5224.69,377.43,941.39,1.07,17.13
29,"Arvind Ltd","NSE","ARVIND","Textiles - Denim Fabric","Textiles",201603,258.24,5407.26,318.85,927.69,1.07,17.13
31,"Ashok Leyland","NSE","ASHOKLEY","Automobiles - LCVs/HCVs","Automobile",201103,133.03,11416.88,631.3,1258.15,0.7,11.18
31,"Ashok Leyland","NSE","ASHOKLEY","Automobiles - LCVs/HCVs","Automobile",201203,266.07,13379.93,565.98,1298.04,0.7,11.18
31,"Ashok Leyland","NSE","ASHOKLEY","Automobiles - LCVs/HCVs","Automobile",201303,266.07,13130.62,433.71,1228.38,0.7,11.18
31,"Ashok Leyland","NSE","ASHOKLEY","Automobiles - LCVs/HCVs","Automobile",201403,266.07,10300.89,29.38,738.74,0.7,11.18
31,"Ashok Leyland","NSE","ASHOKLEY","Automobiles - LCVs/HCVs","Automobile",201503,284.59,13916.46,334.81,1252.05,0.7,11.18
31,"Ashok Leyland","NSE","ASHOKLEY","Automobiles - LCVs/HCVs","Automobile",201603,284.59,19257.39,721.78,1886.42,0.7,11.18
33,"Asian Hotels (N)","NSE","ASIANHOTNR","Hotels - Large","Hotels & Restaurants",201103,19.45,240.58,28.58,84.65,1.69,33.75
33,"Asian Hotels (N)","NSE","ASIANHOTNR","Hotels - Large","Hotels & Restaurants",201203,19.45,226,35.66,112.88,1.69,33.75
33,"Asian Hotels (N)","NSE","ASIANHOTNR","Hotels - Large","Hotels & Restaurants",201303,19.45,216.16,29.45,108.73,1.69,33.75
33,"Asian Hotels (N)","NSE","ASIANHOTNR","Hotels - Large","Hotels & Restaurants",201403,19.45,228.08,-23.66,76.51,1.69,33.75
33,"Asian Hotels (N)","NSE","ASIANHOTNR","Hotels - Large","Hotels & Restaurants",201503,19.45,232.82,-48.18,74.84,1.69,33.75
33,"Asian Hotels (N)","NSE","ASIANHOTNR","Hotels - Large","Hotels & Restaurants",201603,19.45,241.07,-16.99,117.75,1.69,33.75
34,"Asian Paints","NSE","ASIANPAINT","Paints / Varnishes","Paints/Varnish",201103,95.92,6621.01,775.15,1233.15,0.01,17.68
34,"Asian Paints","NSE","ASIANPAINT","Paints / Varnishes","Paints/Varnish",201203,95.92,8335.32,958.39,1493.73,0.01,17.68
34,"Asian Paints","NSE","ASIANPAINT","Paints / Varnishes","Paints/Varnish",201303,95.92,9394.03,1050,1676.79,0.01,17.68
34,"Asian Paints","NSE","ASIANPAINT","Paints / Varnishes","Paints/Varnish",201403,95.92,10925.22,1169.06,1943.86,0.01,17.68
34,"Asian Paints","NSE","ASIANPAINT","Paints / Varnishes","Paints/Varnish",201503,95.92,12263.77,1327.4,2187.84,0.01,17.68
34,"Asian Paints","NSE","ASIANPAINT","Paints / Varnishes","Paints/Varnish",201603,95.92,13417.1,1597.43,2643.14,0.01,17.68
35,"Assam CO. (I)","NSE","ASSAMCO","Tea - Indian - Medium / Small","Plantation & Plantation Products",201112,30.98,282.03,18.6,84.3,2.59,-4.24
35,"Assam CO. (I)","NSE","ASSAMCO","Tea - Indian - Medium / Small","Plantation & Plantation Products",201212,30.98,227.63,20.23,85.33,2.59,-4.24
35,"Assam CO. (I)","NSE","ASSAMCO","Tea - Indian - Medium / Small","Plantation & Plantation Products",201312,30.98,227.78,7.56,78.31,2.59,-4.24
35,"Assam CO. (I)","NSE","ASSAMCO","Tea - Indian - Medium / Small","Plantation & Plantation Products",201412,30.98,215.78,1.18,71.96,2.59,-4.24
35,"Assam CO. (I)","NSE","ASSAMCO","Tea - Indian - Medium / Small","Plantation & Plantation Products",201603,30.98,270.17,-53.31,14.21,2.59,-4.24
37,"SKF India","NSE","SKFINDIA","Bearings - Large","Auto Ancillaries",201112,52.73,2434.88,208.49,352.44,0,14.4
37,"SKF India","NSE","SKFINDIA","Bearings - Large","Auto Ancillaries",201212,52.73,2227.59,190.08,326.72,0,14.4
37,"SKF India","NSE","SKFINDIA","Bearings - Large","Auto Ancillaries",201312,52.73,2274.96,166.72,302.47,0,14.4
37,"SKF India","NSE","SKFINDIA","Bearings - Large","Auto Ancillaries",201412,52.73,2413.61,202.77,360.12,0,14.4
37,"SKF India","NSE","SKFINDIA","Bearings - Large","Auto Ancillaries",201603,52.73,2997.93,257.15,464.84,0,14.4
39,"Astrazeneca Phar","NSE","ASTRAZEN","Pharmaceuticals - Multinational","Pharmaceuticals",201103,5,594.3,64.13,109.76,0,4.07
39,"Astrazeneca Phar","NSE","ASTRAZEN","Pharmaceuticals - Multinational","Pharmaceuticals",201203,5,531.52,19.76,36.59,0,4.07
39,"Astrazeneca Phar","NSE","ASTRAZEN","Pharmaceuticals - Multinational","Pharmaceuticals",201303,5,390.42,-89.53,-57.99,0,4.07
39,"Astrazeneca Phar","NSE","ASTRAZEN","Pharmaceuticals - Multinational","Pharmaceuticals",201403,5,473.97,-0.51,10.12,0,4.07
39,"Astrazeneca Phar","NSE","ASTRAZEN","Pharmaceuticals - Multinational","Pharmaceuticals",201503,5,517.07,-20.84,-5.56,0,4.07
39,"Astrazeneca Phar","NSE","ASTRAZEN","Pharmaceuticals - Multinational","Pharmaceuticals",201603,5,563.73,5.26,23.19,0,4.07
42,"Atlas Cycles","NSE","ATLASCYCLE","Cycles And Accessories","Miscellaneous",201103,3.25,786.23,3.76,24.9,0.94,1.21
42,"Atlas Cycles","NSE","ATLASCYCLE","Cycles And Accessories","Miscellaneous",201203,3.25,891.28,3.54,31.73,0.94,1.21
42,"Atlas Cycles","NSE","ATLASCYCLE","Cycles And Accessories","Miscellaneous",201303,3.25,698.27,2.77,25.21,0.94,1.21
42,"Atlas Cycles","NSE","ATLASCYCLE","Cycles And Accessories","Miscellaneous",201403,3.25,672.32,-10.08,1.44,0.94,1.21
42,"Atlas Cycles","NSE","ATLASCYCLE","Cycles And Accessories","Miscellaneous",201503,3.25,615.54,-18.95,-10.27,0.94,1.21
42,"Atlas Cycles","NSE","ATLASCYCLE","Cycles And Accessories","Miscellaneous",201603,3.25,597.61,-3.26,7.38,0.94,1.21
43,"Atul","NSE","ATUL","Dyes And Pigments - Large","Chemicals",201103,29.68,1510.99,90,203.93,0.26,18.39
43,"Atul","NSE","ATUL","Dyes And Pigments - Large","Chemicals",201203,29.68,1777.68,88.11,209.23,0.26,18.39
43,"Atul","NSE","ATUL","Dyes And Pigments - Large","Chemicals",201303,29.68,2001.48,135.52,273.1,0.26,18.39
43,"Atul","NSE","ATUL","Dyes And Pigments - Large","Chemicals",201403,29.68,2365.45,212.79,382.75,0.26,18.39
43,"Atul","NSE","ATUL","Dyes And Pigments - Large","Chemicals",201503,29.68,2555.65,217.42,391.03,0.26,18.39
43,"Atul","NSE","ATUL","Dyes And Pigments - Large","Chemicals",201603,29.68,2458.9,268.06,480.56,0.26,18.39
50,"Bajaj Holdings","NSE","BAJAJHLDNG","Finance - Investment / Others","Finance",201103,111.29,1074.56,1000.09,1069.36,0,97.8
50,"Bajaj Holdings","NSE","BAJAJHLDNG","Finance - Investment / Others","Finance",201203,111.29,647.93,567.46,643.06,0,97.8
50,"Bajaj Holdings","NSE","BAJAJHLDNG","Finance - Investment / Others","Finance",201303,111.29,743.9,663.33,732.58,0,97.8
50,"Bajaj Holdings","NSE","BAJAJHLDNG","Finance - Investment / Others","Finance",201403,111.29,799.61,733.35,818.34,0,97.8
50,"Bajaj Holdings","NSE","BAJAJHLDNG","Finance - Investment / Others","Finance",201503,111.29,972.22,867.73,969.66,0,97.8
50,"Bajaj Holdings","NSE","BAJAJHLDNG","Finance - Investment / Others","Finance",201603,111.29,1394.51,1270.51,1363.86,0,97.8
51,"Bajaj Electrical","NSE","BAJAJELEC","Domestic Appliances - White Goods","Consumer Durables",201103,19.77,2741.35,143.79,266.01,0.48,6.07
51,"Bajaj Electrical","NSE","BAJAJELEC","Domestic Appliances - White Goods","Consumer Durables",201203,19.93,3098.96,117.88,251.51,0.48,6.07
51,"Bajaj Electrical","NSE","BAJAJELEC","Domestic Appliances - White Goods","Consumer Durables",201303,19.95,3377.34,51.21,152.41,0.48,6.07
51,"Bajaj Electrical","NSE","BAJAJELEC","Domestic Appliances - White Goods","Consumer Durables",201403,19.99,4029.83,-5.31,97.09,0.48,6.07
51,"Bajaj Electrical","NSE","BAJAJELEC","Domestic Appliances - White Goods","Consumer Durables",201503,20.15,4262.51,-13.95,112.64,0.48,6.07
51,"Bajaj Electrical","NSE","BAJAJELEC","Domestic Appliances - White Goods","Consumer Durables",201603,20.19,4611.94,95.6,282.22,0.48,6.07
55,"Balkrishna Inds","NSE","BALKRISIND","Tyres - Large","Tyres",201103,19.33,1934.14,185.56,370.04,0.84,35.32
55,"Balkrishna Inds","NSE","BALKRISIND","Tyres - Large","Tyres",201203,19.33,2819.96,268.52,509.19,0.84,35.32
55,"Balkrishna Inds","NSE","BALKRISIND","Tyres - Large","Tyres",201303,19.33,3190.57,355.83,668.73,0.84,35.32
55,"Balkrishna Inds","NSE","BALKRISIND","Tyres - Large","Tyres",201403,19.33,3576.71,488.37,907.73,0.84,35.32
55,"Balkrishna Inds","NSE","BALKRISIND","Tyres - Large","Tyres",201503,19.33,3779.9,488.81,1014.34,0.84,35.32
55,"Balkrishna Inds","NSE","BALKRISIND","Tyres - Large","Tyres",201603,19.33,3241.77,567.67,1162.67,0.84,35.32
56,"Ballarpur Inds.","NSE","BALLARPUR","Paper - Large","Paper",201106,131.12,1060.91,30.15,180.84,0.84,16.58
56,"Ballarpur Inds.","NSE","BALLARPUR","Paper - Large","Paper",201206,131.12,1094.35,6.57,128.43,0.84,16.58
56,"Ballarpur Inds.","NSE","BALLARPUR","Paper - Large","Paper",201306,131.12,984.68,33.19,168.02,0.84,16.58
56,"Ballarpur Inds.","NSE","BALLARPUR","Paper - Large","Paper",201406,131.12,950.49,35.22,135.62,0.84,16.58
56,"Ballarpur Inds.","NSE","BALLARPUR","Paper - Large","Paper",201503,131.12,451.03,8.94,69.3,0.84,16.58
56,"Ballarpur Inds.","NSE","BALLARPUR","Paper - Large","Paper",201603,131.12,588.32,17.77,130.39,0.84,16.58
57,"Bannari Amm.Sug.","NSE","BANARISUG","Sugar - Integrated","Sugar",201103,11.44,826.77,53.06,150.08,1.19,15.06
57,"Bannari Amm.Sug.","NSE","BANARISUG","Sugar - Integrated","Sugar",201203,11.44,1182.26,105.67,229.98,1.19,15.06
57,"Bannari Amm.Sug.","NSE","BANARISUG","Sugar - Integrated","Sugar",201303,11.44,1337.43,142.49,279.47,1.19,15.06
57,"Bannari Amm.Sug.","NSE","BANARISUG","Sugar - Integrated","Sugar",201403,11.44,651.07,28.69,146.03,1.19,15.06
57,"Bannari Amm.Sug.","NSE","BANARISUG","Sugar - Integrated","Sugar",201503,11.44,929.86,1.03,144.44,1.19,15.06
59,"BASF India","NSE","BASF","Leather Chemicals","Chemicals",201103,43.29,3063.88,117.83,206.25,0.93,2.13
59,"BASF India","NSE","BASF","Leather Chemicals","Chemicals",201203,43.29,3515.94,100.86,215.06,0.93,2.13
59,"BASF India","NSE","BASF","Leather Chemicals","Chemicals",201303,43.29,3940.63,114.08,246.33,0.93,2.13
59,"BASF India","NSE","BASF","Leather Chemicals","Chemicals",201403,43.29,4429.9,127.88,281.6,0.93,2.13
59,"BASF India","NSE","BASF","Leather Chemicals","Chemicals",201503,43.29,4705.76,-66.9,172.12,0.93,2.13
59,"BASF India","NSE","BASF","Leather Chemicals","Chemicals",201603,43.29,4751.73,4.45,280.62,0.93,2.13
60,"Bata India","NSE","BATAINDIA","Leather / Synthetic Footware - Large","Leather",201112,64.26,1542.54,225.84,370.15,0,13.03
60,"Bata India","NSE","BATAINDIA","Leather / Synthetic Footware - Large","Leather",201212,64.26,1842.45,171.6,315.33,0,13.03
60,"Bata India","NSE","BATAINDIA","Leather / Synthetic Footware - Large","Leather",201312,64.26,2065.18,190.74,354.94,0,13.03
60,"Bata India","NSE","BATAINDIA","Leather / Synthetic Footware - Large","Leather",201503,64.26,2694,231.17,425.67,0,13.03
60,"Bata India","NSE","BATAINDIA","Leather / Synthetic Footware - Large","Leather",201603,64.26,2418.05,218.75,389.44,0,13.03
62,"Bayer Crop Sci.","NSE","BAYERCROP","Pesticides / Agrochemicals - Multinational","Agro Chemicals",201103,39.5,2137.3,131.6,239.8,0,12.55
62,"Bayer Crop Sci.","NSE","BAYERCROP","Pesticides / Agrochemicals - Multinational","Agro Chemicals",201203,39.5,2272.3,139,240.1,0,12.55
62,"Bayer Crop Sci.","NSE","BAYERCROP","Pesticides / Agrochemicals - Multinational","Agro Chemicals",201303,39.5,2725.3,1161.7,1603.5,0,12.55
62,"Bayer Crop Sci.","NSE","BAYERCROP","Pesticides / Agrochemicals - Multinational","Agro Chemicals",201403,36.6,3245.2,289.5,510.2,0,12.55
62,"Bayer Crop Sci.","NSE","BAYERCROP","Pesticides / Agrochemicals - Multinational","Agro Chemicals",201503,36.6,3723.3,383,603.4,0,12.55
62,"Bayer Crop Sci.","NSE","BAYERCROP","Pesticides / Agrochemicals - Multinational","Agro Chemicals",201603,35.4,3742.9,300.9,494.9,0,12.55
64,"Berger Paints","NSE","BERGEPAINT","Paints / Varnishes","Paints/Varnish",201103,69.2,2107.1,148.3,253.3,0.13,14.02
64,"Berger Paints","NSE","BERGEPAINT","Paints / Varnishes","Paints/Varnish",201203,69.23,2662.09,177.39,308.1,0.13,14.02
64,"Berger Paints","NSE","BERGEPAINT","Paints / Varnishes","Paints/Varnish",201303,69.26,3024.21,209.8,367.08,0.13,14.02
64,"Berger Paints","NSE","BERGEPAINT","Paints / Varnishes","Paints/Varnish",201403,69.3,3384.82,234.25,420.23,0.13,14.02
64,"Berger Paints","NSE","BERGEPAINT","Paints / Varnishes","Paints/Varnish",201503,69.33,3806.51,266.03,509.59,0.13,14.02
64,"Berger Paints","NSE","BERGEPAINT","Paints / Varnishes","Paints/Varnish",201603,69.35,4132.62,354.87,642.16,0.13,14.02
68,"Bharat Bijlee","NSE","BBL","Electric Equipment - Transformers","Capital Goods - Electrical Equipment",201103,5.65,697.04,73.52,112.3,0.56,5.7
68,"Bharat Bijlee","NSE","BBL","Electric Equipment - Transformers","Capital Goods - Electrical Equipment",201203,5.65,717.78,53.67,91.57,0.56,5.7
68,"Bharat Bijlee","NSE","BBL","Electric Equipment - Transformers","Capital Goods - Electrical Equipment",201303,5.65,542.52,-4.87,17.1,0.56,5.7
68,"Bharat Bijlee","NSE","BBL","Electric Equipment - Transformers","Capital Goods - Electrical Equipment",201403,5.65,486.48,-11.29,12.26,0.56,5.7
68,"Bharat Bijlee","NSE","BBL","Electric Equipment - Transformers","Capital Goods - Electrical Equipment",201503,5.65,610.89,-34.05,0.08,0.56,5.7
68,"Bharat Bijlee","NSE","BBL","Electric Equipment - Transformers","Capital Goods - Electrical Equipment",201603,5.65,639.51,7.19,40.71,0.56,5.7
69,"Bharat Forge","NSE","BHARATFORG","Forgings - Large","Castings, Forgings & Fastners",201103,46.57,2947,310.83,762.07,0.51,30.66
69,"Bharat Forge","NSE","BHARATFORG","Forgings - Large","Castings, Forgings & Fastners",201203,46.57,3685.98,362.07,912.46,0.51,30.66
69,"Bharat Forge","NSE","BHARATFORG","Forgings - Large","Castings, Forgings & Fastners",201303,46.57,3151.23,305.59,817.76,0.51,30.66
69,"Bharat Forge","NSE","BHARATFORG","Forgings - Large","Castings, Forgings & Fastners",201403,46.57,3399.27,399.93,990.73,0.51,30.66
69,"Bharat Forge","NSE","BHARATFORG","Forgings - Large","Castings, Forgings & Fastners",201503,46.57,4548.05,718.98,1419.67,0.51,30.66
69,"Bharat Forge","NSE","BHARATFORG","Forgings - Large","Castings, Forgings & Fastners",201603,46.57,4305.41,701.06,1378.67,0.51,30.66
70,"Bharat Gears","NSE","BHARATGEAR","Auto Ancillaries - Gears","Auto Ancillaries",201103,7.82,335.02,9.71,32.11,1.5,7.7
70,"Bharat Gears","NSE","BHARATGEAR","Auto Ancillaries - Gears","Auto Ancillaries",201203,7.82,430.56,18.59,50.23,1.5,7.7
70,"Bharat Gears","NSE","BHARATGEAR","Auto Ancillaries - Gears","Auto Ancillaries",201303,7.82,392.62,4.97,30.65,1.5,7.7
70,"Bharat Gears","NSE","BHARATGEAR","Auto Ancillaries - Gears","Auto Ancillaries",201403,7.82,419.88,0.6,28.81,1.5,7.7
70,"Bharat Gears","NSE","BHARATGEAR","Auto Ancillaries - Gears","Auto Ancillaries",201503,7.82,414.9,-4.21,23.87,1.5,7.7
70,"Bharat Gears","NSE","BHARATGEAR","Auto Ancillaries - Gears","Auto Ancillaries",201603,7.82,397.48,0.24,33.18,1.5,7.7
72,"Sintex Inds.","NSE","SINTEX","Plastics - Others","Plastic products",201103,27.11,2615.97,357.56,654.76,0.97,22.54
72,"Sintex Inds.","NSE","SINTEX","Plastics - Others","Plastic products",201203,27.11,2562.59,229.7,532.03,0.97,22.54
72,"Sintex Inds.","NSE","SINTEX","Plastics - Others","Plastic products",201303,31.12,2969.26,269.19,580.12,0.97,22.54
72,"Sintex Inds.","NSE","SINTEX","Plastics - Others","Plastic products",201403,31.12,3233.12,335.06,813.71,0.97,22.54
72,"Sintex Inds.","NSE","SINTEX","Plastics - Others","Plastic products",201503,42.44,4006.06,457.52,990.12,0.97,22.54
72,"Sintex Inds.","NSE","SINTEX","Plastics - Others","Plastic products",201603,44.66,4827.67,549.61,1109.77,0.97,22.54
77,"Birla Corpn.","NSE","BIRLACORPN","Cement - Major - North India","Cement",201103,77.01,2153.84,319.88,555.02,0.49,9.4
77,"Birla Corpn.","NSE","BIRLACORPN","Cement - Major - North India","Cement",201203,77.01,2286.9,239.21,478.56,0.49,9.4
77,"Birla Corpn.","NSE","BIRLACORPN","Cement - Major - North India","Cement",201303,77.01,2602.96,269.82,519.96,0.49,9.4
77,"Birla Corpn.","NSE","BIRLACORPN","Cement - Major - North India","Cement",201403,77.01,3016.35,129.76,370.45,0.49,9.4
77,"Birla Corpn.","NSE","BIRLACORPN","Cement - Major - North India","Cement",201503,77.01,3209.89,175.44,444.71,0.49,9.4
77,"Birla Corpn.","NSE","BIRLACORPN","Cement - Major - North India","Cement",201603,77.01,3274.99,157.35,417.49,0.49,9.4
78,"Birla Power Sol.","NSE","BIRLAPOWER","Electric Equipment - Gensets / Turbines","Capital Goods - Electrical Equipment",201103,213.52,292.33,7.56,37.36,0.27,10.7
78,"Birla Power Sol.","NSE","BIRLAPOWER","Electric Equipment - Gensets / Turbines","Capital Goods - Electrical Equipment",201203,213.52,412.69,5.3,40.52,0.27,10.7
78,"Birla Power Sol.","NSE","BIRLAPOWER","Electric Equipment - Gensets / Turbines","Capital Goods - Electrical Equipment",201303,213.52,400.57,4.42,43,0.27,10.7
79,"Bliss GVS Pharma","NSE","BLISSGVS","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201103,10.31,218.84,40.63,60.6,0.21,36.39
79,"Bliss GVS Pharma","NSE","BLISSGVS","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201203,10.31,266.67,52.83,87.38,0.21,36.39
79,"Bliss GVS Pharma","NSE","BLISSGVS","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201303,10.31,353.68,56.68,115.81,0.21,36.39
79,"Bliss GVS Pharma","NSE","BLISSGVS","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201403,10.31,288.23,53.93,96.2,0.21,36.39
79,"Bliss GVS Pharma","NSE","BLISSGVS","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201503,10.31,313.02,60.02,107.55,0.21,36.39
79,"Bliss GVS Pharma","NSE","BLISSGVS","Pharmaceuticals - Indian - Formulations","Pharmaceuticals",201603,10.31,326.38,65.61,119.17,0.21,36.39
81,"Blue Blends (I)","NSE","BLUEBLENDS","Textiles - Texturising","Textiles",201103,18.17,170.48,5.56,14,0.82,12.98
81,"Blue Blends (I)","NSE","BLUEBLENDS","Textiles - Texturising","Textiles",201203,18.17,171.19,-1.69,5.61,0.82,12.98
81,"Blue Blends (I)","NSE","BLUEBLENDS","Textiles - Texturising","Textiles",201303,18.17,168.69,21,32.22,0.82,12.98
81,"Blue Blends (I)","NSE","BLUEBLENDS","Textiles - Texturising","Textiles",201403,19.41,175.56,8.32,19.71,0.82,12.98
81,"Blue Blends (I)","NSE","BLUEBLENDS","Textiles - Texturising","Textiles",201503,19.41,176.21,5.48,18.64,0.82,12.98
81,"Blue Blends (I)","NSE","BLUEBLENDS","Textiles - Texturising","Textiles",201603,19.41,180.15,8.68,23.39,0.82,12.98
82,"Blue Star","NSE","BLUESTARCO","Air-conditioners","Consumer Durables",201103,17.99,2858.92,155,283.01,0.42,5.84
82,"Blue Star","NSE","BLUESTARCO","Air-conditioners","Consumer Durables",201203,17.99,2700.83,-89.15,13.25,0.42,5.84
82,"Blue Star","NSE","BLUESTARCO","Air-conditioners","Consumer Durables",201303,17.99,2767.06,51.74,135.35,0.42,5.84
82,"Blue Star","NSE","BLUESTARCO","Air-conditioners","Consumer Durables",201403,17.99,2789.52,75.9,160.23,0.42,5.84
82,"Blue Star","NSE","BLUESTARCO","Air-conditioners","Consumer Durables",201503,17.99,3080.79,152.53,225.63,0.42,5.84
82,"Blue Star","NSE","BLUESTARCO","Air-conditioners","Consumer Durables",201603,17.99,3531.51,122.77,238.57,0.42,5.84
84,"Bombay Burmah","NSE","BBTC","Tea - Indian - Large","Plantation & Plantation Products",201103,13.96,318.91,76.54,123.69,1.48,3.08
84,"Bombay Burmah","NSE","BBTC","Tea - Indian - Large","Plantation & Plantation Products",201203,13.96,260.3,136.49,202.23,1.48,3.08
84,"Bombay Burmah","NSE","BBTC","Tea - Indian - Large","Plantation & Plantation Products",201303,13.96,243.5,18.93,47.14,1.48,3.08
84,"Bombay Burmah","NSE","BBTC","Tea - Indian - Large","Plantation & Plantation Products",201403,13.96,274.78,5.13,36.34,1.48,3.08
84,"Bombay Burmah","NSE","BBTC","Tea - Indian - Large","Plantation & Plantation Products",201503,13.96,240.64,7.03,43.84,1.48,3.08
84,"Bombay Burmah","NSE","BBTC","Tea - Indian - Large","Plantation & Plantation Products",201603,13.96,241.91,-33.14,7.68,1.48,3.08
